ID,年齢,性別,拠点,回答有無,入社からの日数,コンディション,自由記述,登録日時
UID0366,45,男性,拠点B,あり,817,不調,業務が忙しい,2025-03-19
UID0367,54,女性,拠点A,あり,850,好調,業務が忙しい,2025-03-12
UID0368,54,女性,拠点E,あり,1587,やや不調,評価制度に不満がある,2025-03-06
UID0369,55,男性,拠点C,あり,642,不調,業務が忙しい,2025-03-21
UID0370,42,女性,拠点E,なし,926,普通,チームの雰囲気が良い,2025-03-02
UID0371,32,男性,拠点F,なし,518,不調,,2025-03-03
UID0372,54,女性,拠点C,あり,1738,不調,やりがいを感じる,2025-03-02
UID0373,41,男性,拠点A,あり,117,不調,業務が忙しい,2025-03-07
UID0374,53,女性,拠点F,なし,1128,普通,評価制度に不満がある,2025-03-03
UID0375,22,男性,拠点C,あり,995,好調,評価制度に不満がある,2025-03-23
UID0376,28,男性,拠点G,あり,1882,やや不調,業務が忙しい,2025-03-15
UID0377,59,男性,拠点D,あり,1704,好調,業務が忙しい,2025-03-16
UID0378,58,男性,拠点E,あり,902,やや不調,,2025-03-11
UID0379,27,男性,拠点A,あり,1654,普通,やりがいを感じる,2025-03-19
UID0380,31,女性,拠点E,あり,319,不調,チームの雰囲気が良い,2025-03-23
UID0381,43,男性,拠点C,あり,1221,好調,チームの雰囲気が良い,2025-03-04
UID0382,60,女性,拠点D,あり,1831,不調,業務が忙しい,2025-03-01
UID0383,20,男性,拠点E,あり,1245,やや不調,,2025-03-23
UID0384,50,男性,拠点G,あり,584,不調,,2025-03-08
UID0385,31,男性,拠点B,あり,1053,好調,キャリアアップを目指したい,2025-03-12
UID0386,46,男性,拠点B,あり,270,好調,人間関係に悩んでいる,2025-03-28
UID0387,54,男性,拠点C,あり,1380,普通,キャリアアップを目指したい,2025-03-02
UID0388,32,男性,拠点D,あり,1758,不調,,2025-03-06
UID0389,30,男性,拠点E,あり,613,普通,,2025-03-09
UID0390,41,女性,拠点E,あり,137,普通,チームの雰囲気が良い,2025-03-26
UID0391,21,女性,拠点B,あり,1863,普通,,2025-03-19
UID0392,57,女性,拠点C,あり,1416,やや不調,評価制度に不満がある,2025-03-25
UID0393,27,女性,拠点G,あり,1540,不調,評価制度に不満がある,2025-03-13
UID0394,34,男性,拠点C,あり,141,不調,チームの雰囲気が良い,2025-03-07
UID0395,59,女性,拠点G,あり,309,不調,評価制度に不満がある,2025-03-21
UID0396,42,女性,拠点G,あり,95,好調,キャリアアップを目指したい,2025-03-05
UID0397,27,女性,拠点C,あり,1587,やや不調,評価制度に不満がある,2025-03-10
UID0398,58,男性,拠点D,あり,1981,普通,,2025-03-28
UID0399,34,男性,拠点C,なし,1031,普通,,2025-03-27
UID0400,49,女性,拠点E,あり,1537,普通,評価制度に不満がある,2025-03-11
UID0401,47,男性,拠点B,なし,1901,好調,,2025-03-02
UID0402,22,女性,拠点F,あり,98,不調,,2025-03-13
UID0403,50,男性,拠点C,あり,200,好調,,2025-03-07
UID0404,28,女性,拠点A,あり,215,好調,,2025-03-22
UID0405,39,男性,拠点F,あり,1198,好調,,2025-03-15
UID0406,28,女性,拠点G,あり,788,不調,やりがいを感じる,2025-03-28
UID0407,60,男性,拠点C,なし,711,好調,キャリアアップを目指したい,2025-03-14
UID0408,37,男性,拠点D,あり,1300,やや不調,やりがいを感じる,2025-03-17
UID0409,43,男性,拠点E,あり,983,好調,人間関係に悩んでいる,2025-03-12
UID0410,31,男性,拠点B,あり,449,普通,人間関係に悩んでいる,2025-03-08
UID0411,54,男性,拠点F,あり,1953,普通,評価制度に不満がある,2025-03-11
UID0412,42,女性,拠点B,あり,597,好調,業務が忙しい,2025-03-12
UID0413,42,女性,拠点C,あり,1728,好調,,2025-03-23
UID0414,54,女性,拠点C,あり,1668,好調,評価制度に不満がある,2025-03-15
UID0415,25,男性,拠点C,なし,620,好調,業務が忙しい,2025-03-06
UID0416,37,男性,拠点F,あり,338,普通,,2025-03-21
UID0417,21,女性,拠点C,なし,1138,普通,,2025-03-12
UID0418,46,女性,拠点F,あり,627,普通,業務が忙しい,2025-03-01
UID0419,34,女性,拠点C,あり,1372,やや不調,,2025-03-19
UID0420,53,女性,拠点C,あり,300,やや不調,チームの雰囲気が良い,2025-03-26
UID0421,36,男性,拠点C,あり,620,好調,チームの雰囲気が良い,2025-03-12
UID0422,38,女性,拠点G,あり,359,やや不調,チームの雰囲気が良い,2025-03-06
UID0423,29,男性,拠点G,あり,678,普通,,2025-03-09
UID0424,43,男性,拠点G,あり,101,やや不調,人間関係に悩んでいる,2025-03-05
UID0425,43,女性,拠点B,なし,1122,やや不調,業務が忙しい,2025-03-01
UID0426,45,女性,拠点D,あり,968,やや不調,チームの雰囲気が良い,2025-03-01
UID0427,54,女性,拠点F,あり,1000,やや不調,チームの雰囲気が良い,2025-03-26
UID0428,56,女性,拠点A,あり,1528,不調,やりがいを感じる,2025-03-05
UID0429,55,男性,拠点A,あり,1294,普通,,2025-03-12
UID0430,25,女性,拠点E,あり,429,普通,キャリアアップを目指したい,2025-03-07
UID0431,21,男性,拠点B,あり,1416,好調,,2025-03-13
UID0432,32,女性,拠点A,あり,1077,好調,人間関係に悩んでいる,2025-03-13
UID0433,29,女性,拠点A,あり,54,やや不調,人間関係に悩んでいる,2025-03-12
UID0434,39,女性,拠点D,あり,471,不調,,2025-03-26
UID0435,48,女性,拠点G,あり,1868,不調,,2025-03-05
UID0436,57,男性,拠点G,あり,1002,やや不調,業務が忙しい,2025-03-19
UID0437,44,男性,拠点E,あり,1902,やや不調,,2025-03-06
UID0438,55,女性,拠点F,あり,1903,普通,評価制度に不満がある,2025-03-06
UID0439,44,女性,拠点B,あり,1715,やや不調,キャリアアップを目指したい,2025-03-16
UID0440,55,女性,拠点G,あり,35,普通,キャリアアップを目指したい,2025-03-10
UID0441,60,女性,拠点E,あり,1858,やや不調,,2025-03-06
UID0442,51,男性,拠点E,あり,597,不調,業務が忙しい,2025-03-20
UID0443,43,女性,拠点B,あり,558,不調,業務が忙しい,2025-03-12
UID0444,52,男性,拠点D,あり,1221,好調,チームの雰囲気が良い,2025-03-11
UID0445,49,男性,拠点A,あり,588,やや不調,,2025-03-21
UID0446,42,男性,拠点A,あり,1338,好調,,2025-03-07
UID0447,60,男性,拠点D,あり,1571,普通,,2025-03-11
UID0448,40,女性,拠点A,あり,1439,やや不調,業務が忙しい,2025-03-18
UID0449,57,女性,拠点D,あり,310,やや不調,人間関係に悩んでいる,2025-03-25
UID0450,51,女性,拠点A,なし,363,好調,評価制度に不満がある,2025-03-05
UID0451,52,男性,拠点D,あり,1867,好調,,2025-03-15
UID0452,24,男性,拠点D,あり,65,不調,人間関係に悩んでいる,2025-03-10
UID0453,43,男性,拠点D,あり,1253,やや不調,チームの雰囲気が良い,2025-03-23
UID0454,39,男性,拠点F,あり,485,普通,チームの雰囲気が良い,2025-03-23
UID0455,34,女性,拠点G,あり,190,不調,業務が忙しい,2025-03-03
UID0456,21,女性,拠点D,あり,432,好調,やりがいを感じる,2025-03-26
UID0457,52,男性,拠点C,あり,548,好調,業務が忙しい,2025-03-10
UID0458,20,男性,拠点D,あり,1262,普通,評価制度に不満がある,2025-03-06
UID0459,42,男性,拠点E,あり,1558,やや不調,人間関係に悩んでいる,2025-03-12
UID0460,30,男性,拠点B,あり,232,好調,,2025-03-07
UID0461,32,女性,拠点G,なし,1130,好調,業務が忙しい,2025-03-07
UID0462,52,女性,拠点A,あり,409,不調,業務が忙しい,2025-03-06
UID0463,42,女性,拠点C,あり,496,不調,業務が忙しい,2025-03-25
UID0464,40,男性,拠点C,あり,308,不調,人間関係に悩んでいる,2025-03-23
UID0465,38,男性,拠点E,あり,266,不調,キャリアアップを目指したい,2025-03-15
UID0466,58,女性,拠点F,なし,939,普通,,2025-03-14
UID0467,38,女性,拠点G,なし,1862,不調,人間関係に悩んでいる,2025-03-06
UID0468,20,女性,拠点F,あり,927,好調,業務が忙しい,2025-03-05
UID0469,45,女性,拠点F,あり,238,普通,業務が忙しい,2025-03-12
UID0470,32,女性,拠点G,あり,857,好調,評価制度に不満がある,2025-03-27
UID0471,47,女性,拠点A,あり,1598,やや不調,,2025-03-12
UID0472,50,女性,拠点C,あり,331,不調,業務が忙しい,2025-03-04
UID0473,36,女性,拠点C,あり,1960,普通,やりがいを感じる,2025-03-04
UID0474,23,男性,拠点C,あり,396,不調,人間関係に悩んでいる,2025-03-05
UID0475,39,男性,拠点D,あり,1569,不調,,2025-03-07
UID0476,38,女性,拠点C,あり,1140,やや不調,,2025-03-18
UID0477,21,男性,拠点C,なし,273,不調,,2025-03-11
UID0478,44,女性,拠点C,あり,392,やや不調,チームの雰囲気が良い,2025-03-16
UID0479,47,男性,拠点A,あり,1028,好調,,2025-03-22
UID0480,55,女性,拠点C,あり,350,好調,,2025-03-09
UID0481,51,女性,拠点B,あり,1599,やや不調,人間関係に悩んでいる,2025-03-02
UID0482,21,男性,拠点G,あり,744,好調,人間関係に悩んでいる,2025-03-13
UID0483,26,女性,拠点A,なし,873,やや不調,やりがいを感じる,2025-03-22
UID0484,35,男性,拠点G,あり,1243,好調,業務が忙しい,2025-03-28
UID0485,39,男性,拠点A,あり,1132,やや不調,やりがいを感じる,2025-03-15
UID0486,47,女性,拠点A,あり,991,好調,人間関係に悩んでいる,2025-03-13
UID0487,56,女性,拠点A,あり,1685,不調,業務が忙しい,2025-03-23
UID0488,33,女性,拠点C,あり,1596,やや不調,チームの雰囲気が良い,2025-03-20
UID0489,39,女性,拠点C,あり,1331,好調,,2025-03-07
UID0490,38,女性,拠点E,あり,1204,不調,評価制度に不満がある,2025-03-20
UID0491,25,男性,拠点B,あり,167,不調,,2025-03-07
UID0492,42,男性,拠点F,あり,1063,やや不調,,2025-03-22
UID0493,54,女性,拠点G,あり,544,不調,,2025-03-06
UID0494,21,男性,拠点B,あり,1383,不調,キャリアアップを目指したい,2025-03-21
UID0495,54,女性,拠点B,あり,152,普通,人間関係に悩んでいる,2025-03-15
UID0496,29,男性,拠点G,あり,1597,やや不調,,2025-03-14
UID0497,40,男性,拠点F,あり,874,やや不調,キャリアアップを目指したい,2025-03-21
UID0498,30,女性,拠点F,あり,861,普通,業務が忙しい,2025-03-05
UID0499,32,男性,拠点G,あり,665,不調,,2025-03-18
UID0500,47,女性,拠点F,なし,443,普通,キャリアアップを目指したい,2025-03-05
